"month","mean_pm25","median_pm25","sd_pm25","n_obs"
1,6.36747967479675,6,3.00513935286264,615
2,6.70924369747899,5,4.27361712125658,595
3,10.5233333333333,7,9.05406441105253,600
4,5.13647642679901,5,2.0693774128782,403
5,10.3287671232877,10,5.52998840874632,657
6,5.93225806451613,5,3.28730726843041,620
7,4.39184952978056,4,1.41534404710363,638
8,6.45562130177515,5,3.1149980415078,676
9,10.0649350649351,6,7.66593166473975,616
10,7.45087719298246,7,3.21221432131355,570
