"hour","mean_pm25","se_pm25"
0,7.31716417910448,0.324396114714185
1,7.29411764705882,0.658157927079881
2,7.46025104602511,0.358714962908948
3,7.25590551181102,0.310721704553988
4,7.50574712643678,0.331232134725803
5,7.49626865671642,0.337961806308896
6,7.37407407407407,0.325289532403803
7,7.3457249070632,0.312912826329076
8,7.49077490774908,0.33602291180313
9,7.57564575645756,0.339391428558997
10,7.28731343283582,0.307700126952631
11,7.35661764705882,0.31822081958663
12,7.35294117647059,0.309833537072491
13,7.35925925925926,0.311559654496458
14,7.46691176470588,0.325289401418157
15,7.32841328413284,0.316157987195424
16,7.46350364963504,0.332184359119816
17,7.30656934306569,0.309520427940912
18,7.34065934065934,0.316902434685764
19,7.41111111111111,0.327570310779672
20,7.43346007604563,0.344306253761927
21,7.43629343629344,0.341253783083602
22,7.37890625,0.333262387373796
23,8.27027027027027,0.83124323043507
